time,speed,throttle
681561195,207729.4921875,70.0
681764133,207747.0703125,70.0
681963054,207773.4375,70.0
682160525,207782.2265625,70.0
682366156,207817.3828125,70.0
682567947,207834.9609375,70.0
682756432,207843.75,70.0
682959186,207843.75,70.0
683159479,207861.328125,70.0
683360928,207870.1171875,70.0
683559380,207870.1171875,70.0
683760607,207878.90625,70.0
683960958,207887.6953125,70.0
684160403,207896.484375,70.0
684364220,207878.90625,70.0
684561232,207887.6953125,70.0
684769448,207861.328125,70.0
684971689,207870.1171875,70.0
685162214,207861.328125,70.0
685370161,207852.5390625,70.0
685564586,207834.9609375,70.0
685773487,207817.3828125,70.0
685980204,207826.171875,70.0
686163248,207826.171875,70.0
686362206,207826.171875,70.0
686563015,207834.9609375,70.0
686762653,207834.9609375,70.0
686961864,207852.5390625,70.0
687153516,207861.328125,70.0
687354380,207852.5390625,70.0
687553781,207843.75,70.0
687754920,207834.9609375,70.0
687964392,207834.9609375,70.0
688157863,207808.59375,70.0
688359476,207791.015625,70.0
688559523,207782.2265625,70.0
688758964,207782.2265625,70.0
688971846,207764.6484375,70.0
689161497,207755.859375,70.0
689364348,207764.6484375,70.0
689565471,207782.2265625,70.0
689762938,207764.6484375,70.0
689959092,207764.6484375,70.0
690157886,207764.6484375,70.0
690358238,207764.6484375,70.0
690560358,207773.4375,70.0
690757427,207764.6484375,70.0
690961884,207764.6484375,70.0
691160108,207782.2265625,70.0
691358523,207799.8046875,70.0
691561683,207791.015625,70.0
691759561,207773.4375,70.0
691963532,207764.6484375,70.0
692164545,207764.6484375,70.0
692371601,207747.0703125,70.0
692566211,207747.0703125,70.0
692770740,207747.0703125,70.0
692959371,207755.859375,70.0
693158867,207747.0703125,70.0
693359750,207738.28125,70.0
693560821,207720.703125,70.0
693763280,207720.703125,70.0
693964669,207711.9140625,70.0
694163364,207711.9140625,70.0
694363590,207703.125,70.0
694563643,207711.9140625,70.0
694764949,207720.703125,70.0
694962715,207729.4921875,70.0
695163804,207720.703125,70.0
695363839,207703.125,70.0
695563955,207703.125,70.0
695756974,207694.3359375,70.0
695962296,207694.3359375,70.0
696156840,207694.3359375,70.0
696355347,207703.125,70.0
696556000,207711.9140625,70.0
696756566,207729.4921875,70.0
696956889,207720.703125,70.0
697157739,207729.4921875,70.0
697361402,207720.703125,70.0
697560656,207720.703125,70.0
697759198,207711.9140625,70.0
697961495,207720.703125,70.0
698160349,207729.4921875,70.0
698361964,207729.4921875,70.0
698554298,207720.703125,70.0
698756761,207694.3359375,70.0
698957119,207685.546875,70.0
699173159,207711.9140625,70.0
699358966,207711.9140625,70.0
699559788,207729.4921875,70.0
699761143,207720.703125,70.0
699963003,207747.0703125,70.0
700162983,207729.4921875,70.0
700359449,207729.4921875,70.0
700560126,207711.9140625,70.0
700760114,207729.4921875,70.0
700961287,207738.28125,70.0
701176808,207738.28125,70.0
701413624,207711.9140625,70.0
701559411,207711.9140625,70.0
701763608,207720.703125,70.0
701969981,207711.9140625,70.0
702161403,207703.125,70.0
702360367,207703.125,70.0
702563268,207703.125,70.0
702764651,207703.125,70.0
702956621,207685.546875,70.0
703154103,207685.546875,70.0
703360664,207694.3359375,70.0
703555049,207711.9140625,70.0
703760062,207703.125,70.0
703956825,207711.9140625,70.0
704155879,207720.703125,70.0
704355384,207729.4921875,70.0
704557529,207711.9140625,70.0
704755987,207703.125,70.0
704956545,207703.125,70.0
705159926,207703.125,70.0
705359475,207703.125,70.0
705559707,207711.9140625,70.0
705761013,207720.703125,70.0
705964218,207738.28125,70.0
706161232,207729.4921875,70.0
706362220,207738.28125,70.0
706566361,207747.0703125,70.0
706764105,207747.0703125,70.0
706966378,207764.6484375,70.0
707165242,207764.6484375,70.0
707368921,207755.859375,70.0
707559670,207764.6484375,70.0
707763437,207773.4375,70.0
707957678,207773.4375,70.0
708157410,207764.6484375,70.0
708359832,207773.4375,70.0
708556588,207764.6484375,70.0
708758754,207764.6484375,70.0
708961509,207764.6484375,70.0
709171112,207782.2265625,70.0
709356589,207799.8046875,70.0
709557550,207817.3828125,70.0
709760592,207808.59375,70.0
709963278,207826.171875,70.0
710160399,207817.3828125,70.0
710358734,207843.75,70.0
710564818,207834.9609375,70.0
710766791,207843.75,70.0
710965173,207843.75,70.0
711165766,207834.9609375,70.0
711369593,207861.328125,70.0
711568735,207843.75,70.0
711755286,207843.75,70.0
711966207,207843.75,70.0
712163649,207852.5390625,70.0
712364090,207843.75,70.0
712565257,207834.9609375,70.0
712754594,207852.5390625,70.0
712955326,207878.90625,70.0
713155042,207861.328125,70.0
713356379,207852.5390625,70.0
713557805,207852.5390625,70.0
713759279,207843.75,70.0
713957180,207834.9609375,70.0
714159535,207826.171875,70.0
714359196,207834.9609375,70.0
714564649,207834.9609375,70.0
714765917,207834.9609375,70.0
714960967,207817.3828125,70.0
715161433,207817.3828125,70.0
715362405,207826.171875,70.0
715563247,207791.015625,70.0
715763183,207764.6484375,70.0
715970731,207729.4921875,70.0
716161758,207703.125,70.0
716379454,207720.703125,70.0
716557964,207720.703125,70.0
716759223,207720.703125,70.0
716963334,207729.4921875,70.0
717157295,207764.6484375,70.0
717358336,207773.4375,70.0
717560421,207773.4375,70.0
717758926,207773.4375,70.0
717963056,207764.6484375,70.0
718160241,207764.6484375,70.0
718361587,207755.859375,70.0
718557252,207764.6484375,70.0
718764000,207773.4375,70.0
718961085,207782.2265625,70.0
719161056,207782.2265625,70.0
719362708,207773.4375,70.0
719562480,207755.859375,70.0
719762044,207747.0703125,70.0
719963918,207755.859375,70.0
720164766,207747.0703125,70.0
720359548,207729.4921875,70.0
720558995,207711.9140625,70.0
720764631,207720.703125,70.0
720958686,207711.9140625,70.0
721155997,207703.125,70.0
721358408,207694.3359375,70.0
721563774,207694.3359375,70.0
721765543,207685.546875,70.0
721960779,207659.1796875,70.0
722162044,207659.1796875,70.0
722363248,207641.6015625,70.0
722566098,207641.6015625,70.0
